# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
mimdrealgpu,12,1024,1024,3682989.6,1
mimdrealgpu,12,4096,4096,4237665.1,1
mimdrealgpu,12,16384,16384,4573998.9,1
mimdrealgpu,12,65536,65536,4660343.1,1
mimdrealgpu,16,256,256,54542.5,0
mimdrealgpu,16,1024,1024,60722.9,0
mimdrealgpu,16,4096,4096,61580.9,0
mimdrealgpu,18,256,256,13753.6,0
mimdrealgpu,18,1024,1024,15213.2,0
mimdrealgpu,20,256,256,3461.1,0
